Date,Rate,High (est),Low (est)
2018-02-28,26.70299911499,26.884000778198,26.570999145508
2018-02-27,26.70299911499,26.763000488281,26.694999694824
2018-02-26,26.746999740601,26.759000778198,26.70299911499
2018-02-23,26.920099258423,26.920000076294,26.725999832153
2018-02-22,26.920000076294,26.920099258423,26.844999313354
2018-02-21,26.919900894165,27.170000076294,26.754999160767
2018-02-20,26.920000076294,26.920000076294,26.798000335693
2018-02-19,26.580600738525,26.968999862671,26.496000289917
2018-02-16,26.580499649048,26.580600738525,26.496000289917
2018-02-15,26.580499649048,26.580499649048,26.22200012207
2018-02-14,26.580400466919,26.580499649048,26.45599937439
2018-02-13,26.580499649048,26.793500900269,26.533000946045
2018-02-12,26.793500900269,26.860200881958,26.580499649048
2018-02-09,26.86009979248,26.860200881958,26.793500900269
2018-02-08,26.860000610352,27.003999710083,26.839000701904
2018-02-07,27.521900177002,27.521900177002,26.844999313354
2018-02-06,27.521900177002,27.614000320435,27.305000305176
2018-02-05,27.521900177002,27.690000534058,27.474000930786
2018-02-02,27.521900177002,27.618999481201,27.474000930786
2018-02-01,27.507499694824,27.625,27.521799087524
2018-01-31,28.308599472046,28.308500289917,27.507499694824
2018-01-30,28.308500289917,28.308599472046,28.018999099731
2018-01-29,28.684099197388,28.684099197388,27.968000411987
2018-01-26,28.684000015259,28.684099197388,28.479999542236
2018-01-25,28.68390083313,28.684000015259,28.445999145508
2018-01-24,28.684000015259,28.684000015259,28.440000534058
2018-01-23,28.684000015259,28.684000015259,28.584999084473
2018-01-22,28.736000061035,28.736000061035,28.659999847412
2018-01-19,28.552000045776,28.650999069214,28.485000610352
2018-01-18,28.500999450684,28.549999237061,28.302499771118
2018-01-17,28.267999649048,28.438999176025,28.170000076294
2018-01-16,28.298000335693,28.308000564575,28.137500762939
2018-01-15,28.110000610352,28.306999206543,28.10000038147
2018-01-12,28.003000259399,28.287000656128,27.951000213623
2018-01-11,28.224000930786,28.211000442505,28.198999404907
2018-01-10,27.95299911499,27.999500274658,27.788999557495
2018-01-09,28.007999420166,27.999500274658,27.952100753784
2018-01-08,27.983999252319,28.027000427246,27.631999969482
2018-01-05,27.736999511719,27.938999176025,27.631999969482
2018-01-04,27.622999191284,27.905500411987,27.631999969482
2018-01-03,27.913999557495,27.906999588013,27.611999511719
2018-01-02,27.839000701904,27.899000167847,27.805999755859
2018-01-01,27.864000320435,27.864999771118,27.864000320435
2017-12-29,27.898000717163,27.894500732422,27.701000213623
2017-12-28,27.712999343872,27.912000656128,27.698999404907
2017-12-27,27.697999954224,27.715000152588,27.687000274658
2017-12-26,27.663000106812,27.676000595093,27.673000335693
2017-12-25,27.687000274658,27.722999572754,27.659999847412
2017-12-22,27.631999969482,27.711000442505,27.687999725342
2017-12-21,27.521999359131,27.627000808716,27.516000747681
2017-12-20,27.57200050354,27.59700012207,27.562000274658
2017-12-19,27.610000610352,27.627500534058,27.608999252319
2017-12-18,27.52799987793,27.595500946045,27.27799987793
2017-12-15,27.306999206543,27.420999526978,27.27799987793
2017-12-14,26.805999755859,27.176000595093,26.775999069214
2017-12-13,27.017999649048,27.00950050354,26.996999740601
2017-12-12,26.906000137329,26.930999755859,26.895999908447
2017-12-11,26.771999359131,26.862499237061,26.771999359131
2017-12-08,26.881000518799,26.900999069214,26.860000610352
2017-12-07,26.877000808716,26.898000717163,26.867000579834
2017-12-06,26.961000442505,26.978399276733,26.858999252319
2017-12-05,26.95299911499,26.946100234985,26.872999191284
2017-12-04,26.860000610352,26.985000610352,26.860000610352
2017-12-01,26.754999160767,26.861999511719,26.716999053955
2017-11-30,26.767000198364,26.865999221802,26.759000778198
2017-11-29,26.739000320435,26.777000427246,26.735000610352
2017-11-28,26.665000915527,26.656499862671,26.646999359131
2017-11-27,26.468999862671,26.582000732422,26.468999862671
2017-11-24,26.563999176025,26.578500747681,26.575000762939
2017-11-23,26.278999328613,26.576000213623,26.291000366211
2017-11-22,26.240999221802,26.450000762939,26.228000640869
2017-11-21,26.318000793457,26.304500579834,26.261999130249
2017-11-20,26.232000350952,26.340000152588,26.232000350952
2017-11-15,26.089000701904,26.245500564575,26.107000350952
2017-11-14,26.209999084473,26.256999969482,26.195999145508
2017-11-13,26.194999694824,26.237400054932,26.194999694824
2017-11-10,26.280000686646,26.400499343872,26.236000061035
2017-11-09,26.375999450684,26.400499343872,26.301000595093
2017-11-08,26.424999237061,26.41900062561,26.375999450684
2017-11-07,26.506000518799,26.511499404907,26.482000350952
2017-11-06,26.801000595093,26.82200050354,26.545999526978
2017-11-03,26.66900062561,26.701999664307,26.670999526978
2017-11-02,26.670999526978,26.940000534058,26.631000518799
2017-11-01,26.579999923706,26.879999160767,26.600999832153
2017-10-31,26.548999786377,26.879999160767,26.545000076294
2017-10-30,26.607999801636,26.975999832153,26.59700012207
2017-10-27,26.941999435425,26.975999832153,26.59700012207
2017-10-26,26.436000823975,26.819999694824,26.423999786377
2017-10-25,26.426000595093,26.764999389648,26.434999465942
2017-10-24,26.319999694824,26.680000305176,26.306999206543
2017-10-23,26.344999313354,26.569999694824,26.201999664307
2017-10-20,26.208999633789,26.540000915527,26.201999664307
2017-10-19,26.07799911499,26.5,26.076999664307
2017-10-18,26.180999755859,26.420000076294,26.173000335693
2017-10-17,26.275999069214,26.450000762939,26.281999588013
2017-10-16,26.284000396729,26.510000228882,26.260999679565
2017-10-13,26.412000656128,26.510000228882,26.281999588013
2017-10-12,26.183000564575,26.569999694824,26.170999526978
2017-10-11,26.263999938965,26.549999237061,26.253999710083
